id,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label,Attempted Category
1,172.31.66.11-52.84.7.68-49702-80-6,172.31.66.11,49702,52.84.7.68,80,6,2018-02-14 12:30:07.258263,115320241,17,15,901,1942,445,0,53.0,147.54406121562468,971,0,129.4666666666666,341.6616677915379,24.65308757029046,0.2774881471154747,3720007.7741935486,4807285.600218892,10005167,18,115309886,7206867.875,4422072.016777955,10015363,151,115310136,8236438.285714285,3720432.155818077,10019971,6459,2,2,0,0,0,0,352,444,0.1474155781550959,0.1300725689603787,0,971,88.84375000000001,255.84522909368468,65456.78125,0,2,0,4,31,0,1,1,0.8823529411764706,88.84375,53.0,129.46666666666667,0,0,0,0,0,0,0,28,0,60,8192,123,13,20,495122.90909090906,1608271.1906462454,5344243,10175,9987594.000000002,58161.00212513526,10005167,9812232,-1,-1,115320241,BENIGN,-1
2,172.31.66.11-72.21.91.29-49692-80-6,172.31.66.11,49692,72.21.91.29,80,6,2018-02-14 12:30:06.607725,116784235,27,21,3498,6304,436,0,129.55555555555551,202.63577278026804,788,0,300.1904761904762,392.119321004158,83.93256161672849,0.4110143804940795,2484770.9574468085,4158602.267689019,10004111,24,116772883,4491264.730769231,4746741.60099813,10015388,183,116773027,5838651.35,4662330.678041146,10024435,513,8,8,0,0,0,0,552,552,0.2311955890279197,0.1798187914661598,0,788,204.20833333333331,308.968080588748,95461.27482269506,0,2,0,16,47,0,1,1,0.7777777777777778,204.20833333333331,129.55555555555554,300.1904761904762,0,0,0,0,0,0,0,72,0,131,8192,302,18,20,777475.9090909092,2523300.097878271,8385364,11242,9838240.727272728,477101.2144027912,10004111,8408741,-1,-1,116784235,BENIGN,-1
3,172.31.66.11-72.21.91.29-49711-80-6,172.31.66.11,49711,72.21.91.29,80,6,2018-02-14 12:30:07.524853,115867108,23,19,2626,4569,436,0,114.17391304347828,195.4906768699802,788,0,240.4736842105263,365.2728612392313,62.09700167885436,0.3624842349564813,2826027.024390244,4347386.80077294,10004152,15,115855781,5266171.863636364,4757685.029250538,10015395,140,115855913,6436439.611111111,4504493.04823603,10022030,542,6,6,0,0,0,0,472,512,0.1985032715237874,0.1639809634326939,0,788,171.30952380952377,288.32463817762,83131.09698025549,0,2,0,12,41,0,1,1,0.8260869565217391,171.3095238095238,114.17391304347828,240.47368421052636,0,0,0,0,0,0,0,62,0,108,8192,298,16,20,723708.2727272726,2340628.2303415504,7780718,11225,9808635.454545457,599005.7320627845,10004152,8004832,-1,-1,115867108,BENIGN,-1
4,172.31.66.11-23.219.88.199-49683-80-6,172.31.66.11,49683,23.219.88.199,80,6,2018-02-14 12:30:04.939879,119894757,17,16,597,768,293,0,35.11764705882354,97.0643358505978,384,0,47.99999999999999,131.16096980428287,11.384984916396302,0.2752413935832073,3746711.15625,4879271.737553101,10046602,40,119862573,7491410.812499999,4440509.050918213,10046616,491,119862560,7990837.333333333,4135120.983253032,10129496,465,2,2,0,0,0,0,352,464,0.1417910209368037,0.1334503726464035,0,384,41.36363636363637,113.21434819122368,12817.488636363634,0,2,0,4,32,0,1,1,0.9411764705882352,41.36363636363637,35.11764705882353,48.0,0,0,0,0,0,0,0,18,0,23,8192,980,13,20,44483.75,28309.498676159117,115967,32245,9944064.0,234214.92923458916,10046602,9203252,-1,-1,119894757,BENIGN,-1
5,172.31.66.11-216.58.211.162-49764-443-6,172.31.66.11,49764,216.58.211.162,443,6,2018-02-14 12:30:10.513852,112960508,57,90,9101,27113,1047,0,159.66666666666669,274.6576657101224,1430,0,301.2555555555555,513.4411459573994,320.5899180269267,1.3013397567227654,773702.1095890413,5491261.770910031,58084562,0,112960508,2017151.9285714289,8802405.710152488,58221272,51,112804636,1267467.8202247191,7021081.205660765,58181106,0,32,58,0,0,0,0,1152,1812,0.5046011301578069,0.7967386265649584,0,1430,246.35374149659864,440.9393584672324,194427.5178454944,0,2,0,90,146,0,1,1,1.5789473684210529,246.35374149659864,159.66666666666666,301.2555555555556,4840,6,49212,3808,7,66183,0,61,0,184,8192,307,32,20,1256326.75,2040126.946696598,4316517,235349,26944781.5,22762140.00225565,58084562,9758551,-1,-1,112960508,BENIGN,-1
6,172.31.66.11-34.214.230.76-49819-443-6,172.31.66.11,49819,34.214.230.76,443,6,2018-02-14 12:30:16.004411,63377443,13,13,1028,4646,447,0,79.07692307692308,131.3135316322868,1460,0,357.38461538461536,541.727874253845,89.52712087169563,0.410240596169208,2535097.72,11608130.474071896,58061088,1,63377443,5281453.583333334,16682356.951695954,58061088,28,63268424,5272368.666666666,16716510.897451784,58171285,1,6,7,0,0,0,0,272,272,0.205120298084604,0.205120298084604,0,1460,218.23076923076923,411.436829434829,169280.2646153846,0,2,0,13,25,0,1,1,1.0,218.23076923076923,79.07692307692308,357.38461538461536,0,0,0,0,0,0,0,39,0,178,8192,118,6,20,5207264.0,0.0,5207264,5207264,58061088.0,0.0,58061088,58061088,-1,-1,63377443,BENIGN,-1
7,172.31.66.11-152.195.32.112-49706-443-6,172.31.66.11,49706,152.195.32.112,443,6,2018-02-14 12:30:07.457988,116922591,22,36,1555,20085,454,0,70.6818181818182,111.9584899112321,1460,0,557.9166666666666,649.17831030575,185.07971654511147,0.4960546931430898,2051273.5263157892,10825383.10860551,58530941,0,116922591,5567742.428571428,17537714.774450686,58530941,32,116860419,3338869.114285714,13742170.059174746,58542654,0,10,20,0,0,0,0,452,732,0.1881586767094479,0.307896016433642,0,1460,373.103448275862,565.9191154670945,320264.4452510586,0,2,0,30,57,0,1,1,1.6363636363636365,373.1034482758621,70.68181818181819,557.9166666666666,1126,6,1063267,9812,13,223730,0,26,0,346,8192,298,10,20,110735.5,68696.13089905427,159311,62160,58319460.0,299079.29838422453,58530941,58107979,-1,-1,116922591,BENIGN,-1
8,172.31.66.11-52.84.122.201-49685-443-6,172.31.66.11,49685,52.84.122.201,443,6,2018-02-14 12:30:04.981501,117383524,37,87,1022,112640,250,0,27.62162162162162,63.84110107278997,1460,0,1294.7126436781607,444.6667659554236,968.2960276435388,1.0563663091252908,954337.593495935,7420640.287341317,58751065,0,117383524,3260653.4444444445,13572367.447109375,58751065,112,117321675,1364205.523255814,8864126.602139367,58762749,0,8,7,0,0,0,0,752,1752,0.3152060761099658,0.7411602330153251,0,1460,916.6290322580644,691.5879626226763,478293.9100445843,0,2,0,15,123,0,1,1,2.3513513513513518,916.6290322580644,27.62162162162162,1294.712643678161,0,0,0,108737,75,4359419,0,8,0,908,8192,131,8,20,223309.5,227682.01958103763,384305,62314,58437282.5,443755.4671353357,58751065,58123500,-1,-1,117383524,BENIGN,-1
9,172.31.66.11-52.168.138.145-123-123-17,172.31.66.11,123,52.168.138.145,123,17,2018-02-14 12:30:47.634231,64032441,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,2.9984800985487965,0.0624683353864332,21344147.0,36935882.15225063,63994030,18550,64013891,64013891.0,0.0,64013891,64013891,64012580,64012580.0,0.0,64012580,64012580,0,0,0,0,0,0,16,16,0.0312341676932166,0.0312341676932166,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,48.0,48.0,48.0,0,0,0,0,0,0,0,24,0,24,0,0,1,8,19861.0,0.0,19861,19861,63994030.0,0.0,63994030,63994030,-1,-1,0,BENIGN,-1
10,172.31.66.11-52.84.63.30-49701-443-6,172.31.66.11,49701,52.84.63.30,443,6,2018-02-14 12:30:07.047375,117333193,14,13,922,5655,283,0,65.85714285714286,93.9253853970162,1460,0,435.0000000000001,604.8585234030627,56.05404431463823,0.2301139115851045,4512815.115384615,15872558.356620677,58748598,0,117333193,9025630.230769232,21925928.09065044,58748598,283,117271718,9772643.166666668,22773441.365522977,58884430,0,7,7,0,0,0,0,292,272,0.1193183245256097,0.1107955870594947,0,1460,243.59259259259252,456.721953731089,208594.943019943,0,2,0,14,26,0,1,1,0.9285714285714286,243.59259259259255,65.85714285714286,435.0,0,0,0,4937,4,2468500000,0,34,0,209,8192,127,7,20,207225.0,204942.17260485943,352141,62309,58428215.0,453089.9837537793,58748598,58107832,-1,-1,117333193,BENIGN,-1
